Living Sacrifice;Prophecy (Japanese Limited Edition);Soulfly;2004;304;2;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\02 - Living Sacrifice.mp3
Execution Style;Prophecy (Japanese Limited Edition);Soulfly;2004;139;3;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\03 - Execution Style.mp3
Defeat U (Feat. Danny Marianino);Prophecy (Japanese Limited Edition);Soulfly;2004;130;4;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\04 - Defeat U (feat. Danny Marianino).mp3
Mars;Prophecy (Japanese Limited Edition);Soulfly;2004;326;5;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\05 - Mars.mp3
I Believe;Prophecy (Japanese Limited Edition);Soulfly;2004;353;6;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\06 - I Believe.mp3
Moses (Feat. Eyesburn);Prophecy (Japanese Limited Edition);Soulfly;2004;460;7;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\07 - Moses (feat. Eyesburn).mp3
Born Again Anarchist;Prophecy (Japanese Limited Edition);Soulfly;2004;223;8;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\08 - Born Again Anarchist.mp3
Porrada;Prophecy (Japanese Limited Edition);Soulfly;2004;248;9;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\09 - Porrada.mp3
In The Meantime (Helmet Cover);Prophecy (Japanese Limited Edition);Soulfly;2004;286;10;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\10 - In The Meantime (Helmet cover).mp3
Soulfly Iv;Prophecy (Japanese Limited Edition);Soulfly;2004;365;11;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\11 - Soulfly IV.mp3
Wings (Feat. Asha Rabouin);Prophecy (Japanese Limited Edition);Soulfly;2004;366;12;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\12 - Wings (feat. Asha Rabouin).mp3
Back To The Primitive (Live) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;250;13;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\13 - Back To The Primitive (Live) (Bonus track).mp3
No Hope=No Fear (Live) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;262;14;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\14 - No Hope=No Fear (Live) (Bonus track).mp3
Spit (Live) (Sepultura Cover) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;152;15;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\15 - Spit (Live) (Sepultura cover) (Bonus track).mp3
Jumpdafuckup/Bring It (Live) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;267;16;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\16 - Jumpdafuckup_Bring It (Live) (Bonus track).mp3
The Song Remains Insane (Live) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;139;17;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\17 - The Song Remains Insane (Live) (Bonus track).mp3
Roots Bloody Roots (Live) (Sepultura Cover) (Bonus Track);Prophecy (Japanese Limited Edition);Soulfly;2004;238;18;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\18 - Roots Bloody Roots (Live) (Sepultura cover) (Bonus track).mp3
March On River Dina;Prophecy (Special Edition);Soulfly;2004;201;13;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\2004 - Prophecy (Special Edition)\13 - March On River Dina.mp3
Prophecy (Demo);Prophecy (Special Edition);Soulfly;2004;151;14;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\2004 - Prophecy (Special Edition)\14 - Prophecy (Demo).mp3
Prophecy (Live In Poland);Prophecy (Special Edition);Soulfly;2004;207;15;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\2004 - Prophecy (Special Edition)\15 - Prophecy (Live in Poland).mp3
Seek 'N' Strike (Live In Poland);Prophecy (Special Edition);Soulfly;2004;255;16;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\2004 - Prophecy (Special Edition)\16 - Seek 'N' Strike (Live in Poland).mp3
Bring It (Armageddon Mix);Prophecy (Japanese Limited Edition) (Bonus Cd);Soulfly;2004;211;1;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\Bonus CD\01 - Bring It (Armageddon Mix).mp3
The Dark Ages;Dark Ages (Limited Edition);Soulfly;2005;48;1;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\01 - The Dark Ages.mp3
Babylon;Dark Ages (Limited Edition);Soulfly;2005;234;2;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\02 - Babylon.mp3
I And I;Dark Ages (Limited Edition);Soulfly;2005;196;3;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\03 - I And I.mp3
Carved Inside;Dark Ages (Limited Edition);Soulfly;2005;215;4;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\04 - Carved Inside.mp3
Arise Again;Dark Ages (Limited Edition);Soulfly;2005;251;5;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\05 - Arise Again.mp3
Molotov (Feat. Billy Milano);Dark Ages (Limited Edition);Soulfly;2005;118;6;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\06 - Molotov (feat. Billy Milano).mp3
Frontlines;Dark Ages (Limited Edition);Soulfly;2005;275;7;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\07 - Frontlines.mp3
Innerspirit;Dark Ages (Limited Edition);Soulfly;2005;316;8;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\08 - Innerspirit.mp3
Corrosion Creeps;Dark Ages (Limited Edition);Soulfly;2005;267;9;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\09 - Corrosion Creeps.mp3
Riotstarter (Feat. Dave Ellefson);Dark Ages (Limited Edition);Soulfly;2005;301;10;Groove Metal/Thrash Metal;D:\MUSICA\Soulfly\2005 - Dark Ages\10 - Riotstarter (feat. Dave Ellefson).mp3
